Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date,Placement_Offer_Count
65,85,68,80,2019,2
70,90,72,85,2018,3
75,88,75,90,2020,4
80,92,78,95,2019,5
78,91,77,88,2021,4
68,80,66,78,2018,1
72,83,70,82,2019,2
76,87,74,87,2020,3
79,95,79,100,2021,6
64,78,64,76,2018,1
71,84,71,84,2019,2
77,89,76,89,2020,4
69,86,67,79,2019,2
73,82,73,83,2018,3
74,81,72,86,2021,5
66,79,65,77,2020,2
67,77,63,75,2019,1
62,76,60,82,2018,2
81,94,80,99,2021,6
63,75,62,76,2020,1
60,75,61,85,2019,3
80,93,79,94,2021,5
61,76,62,78,2018,2
79,90,78,97,2020,5
68,81,68,82,2019,2
75,88,75,91,2021,4
77,89,77,93,2020,5
74,85,74,89,2018,3
72,87,72,87,2021,3
70,83,70,80,2019,2
